customer_id,age,income,product_owned,competitor_product_owned,last_purchase,churned,product_knowledge
27584,34,58507,Product C,Competitor Product B,255,0,3
76260,47,62822,,Competitor Product A,257,0,9
56411,63,97343,Product A,Competitor Product A,166,1,6
76928,27,70496,,Competitor Product A,19,1,1
67383,43,77470,,Competitor Product B,97,1,2
31256,36,47658,Product B,,117,0,7
60363,61,38939,Product B,Competitor Product A,189,1,1
72453,37,41347,Product B,,245,0,4
72544,45,54524,,,150,1,1
87494,24,55964,Product C,Competitor Product B,255,0,3
16544,47,57198,,Competitor Product B,230,0,8
22924,56,89187,Product C,,206,1,5
92248,42,36049,Product C,,290,0,6
61507,48,92303,Product B,,350,1,5
17662,65,57810,,,313,1,7
21718,33,37303,Product C,Competitor Product A,187,1,7
4431,56,69616,,Competitor Product A,123,1,7
68168,37,45698,Product C,Competitor Product A,95,1,7
20223,60,71430,Product A,Competitor Product B,357,1,4
17334,62,67032,Product A,Competitor Product A,18,1,2
95529,18,57679,Product B,,93,0,9
68111,33,53361,,,243,0,9
40574,44,30426,,,98,1,5
5636,63,38115,,Competitor Product A,271,1,6
88802,52,56906,Product C,Competitor Product B,227,0,2
54438,51,72493,Product C,,294,1,6
24813,30,79107,Product A,,230,1,5
78753,47,73288,Product C,,31,0,8
45002,22,38762,,,47,0,10
62645,70,38486,Product C,,316,0,9
84955,36,58203,,Competitor Product B,162,0,9
73707,64,78879,Product A,Competitor Product B,165,0,7
87042,49,69863,,Competitor Product B,8,0,1
34767,67,99112,Product B,Competitor Product A,44,1,1
73409,42,84165,Product A,Competitor Product A,184,1,8
85138,50,38743,,,158,0,3
96785,22,89854,Product B,Competitor Product B,330,1,5
83504,34,44314,,Competitor Product A,249,0,7
44215,52,79022,Product B,,171,0,2
81589,45,38709,Product C,,299,0,7
58356,52,86777,Product A,,197,0,3
94514,39,72039,Product C,Competitor Product B,42,0,2
48600,23,49666,Product C,Competitor Product B,164,1,6
46208,48,71725,Product C,Competitor Product A,267,0,6
16014,43,49226,Product C,,99,1,2
77791,19,59098,Product C,Competitor Product B,73,0,2
23488,28,58000,,Competitor Product A,300,0,1
63084,49,93329,Product C,Competitor Product A,69,1,5
51983,32,75087,,,258,0,10
16834,30,85022,Product C,Competitor Product B,274,0,7
68572,27,52217,Product A,Competitor Product A,169,0,1
77622,70,31889,Product B,Competitor Product B,335,0,5
50321,20,55832,Product C,Competitor Product B,260,0,3
70837,56,66393,Product A,,310,0,5
15517,20,74003,Product C,,312,1,3
50133,20,31751,Product C,Competitor Product B,299,0,10
1912,41,84975,,Competitor Product A,189,0,3
73798,35,33713,Product B,Competitor Product B,283,1,7
56032,45,36680,Product A,Competitor Product B,32,0,9
10961,39,77975,Product B,Competitor Product B,73,0,9
81325,28,30882,,,20,0,4
72618,70,71314,Product B,,196,0,5
70062,43,32195,Product A,Competitor Product B,74,1,1
78241,44,95754,,Competitor Product B,321,1,3
68185,61,67608,Product B,,255,0,5
50483,63,38173,Product A,,116,0,2
72440,22,43271,Product B,Competitor Product A,338,1,2
88555,33,37212,,Competitor Product A,64,1,6
23977,22,84597,Product A,Competitor Product A,211,1,3
35933,67,41332,Product C,Competitor Product A,277,1,3
31099,24,81830,Product C,Competitor Product A,214,1,6
63380,32,39237,Product C,Competitor Product B,258,1,4
8877,33,54869,Product C,,178,1,2
25558,35,85122,Product C,,95,1,6
6997,19,42493,Product C,Competitor Product A,121,1,8
97808,44,69688,Product A,,300,0,7
92165,45,30954,,Competitor Product A,318,0,4
30195,26,65883,,Competitor Product B,74,1,1
78525,46,42702,Product A,Competitor Product A,302,0,2
65514,62,87506,Product A,Competitor Product A,9,0,10
34215,30,61477,Product A,,154,1,2
38864,19,86610,Product A,Competitor Product B,343,1,3
65803,48,48933,Product B,,300,1,4
27519,34,76391,Product A,,337,1,5
60331,63,81281,Product A,,86,1,8
83406,28,50540,Product B,,101,0,4
25901,48,66775,Product C,Competitor Product B,49,0,7
77689,24,82558,Product A,Competitor Product B,309,1,2
70801,23,85913,Product B,,360,0,4
7991,26,45072,,,211,0,9
45490,52,83063,Product B,Competitor Product B,30,0,7
56360,61,96465,Product C,Competitor Product A,203,0,6
57823,49,82159,Product A,Competitor Product B,290,0,5
88961,37,87552,Product C,Competitor Product B,296,1,2
42373,45,99329,Product B,Competitor Product A,294,0,6
14677,61,55344,Product A,Competitor Product A,68,0,4
44648,43,33861,Product C,Competitor Product B,240,0,8
86892,42,80333,,Competitor Product B,324,0,6
16131,49,30796,Product B,,126,0,3
263,46,31300,Product C,Competitor Product B,311,0,1
73951,35,65418,Product B,Competitor Product A,234,1,10
62122,60,67452,Product B,Competitor Product A,94,1,3
40484,40,75266,Product A,,149,1,10
22408,28,52042,,Competitor Product B,257,1,9
39184,52,78790,Product B,Competitor Product B,251,0,10
83741,66,71951,Product C,Competitor Product A,156,1,8
81237,32,34913,Product A,Competitor Product B,59,1,1
92207,33,55331,Product C,Competitor Product A,278,0,10
1249,61,42962,Product B,,289,1,5
12254,68,40130,Product A,Competitor Product B,89,0,1
27963,18,66095,Product C,Competitor Product B,168,0,3
30054,69,63238,,Competitor Product B,45,0,1
53225,40,93638,Product C,Competitor Product B,133,0,6
49214,56,43360,,,155,1,3
87721,56,96750,Product A,Competitor Product B,140,0,3
6467,39,44106,,Competitor Product B,324,1,7
30320,58,48582,Product A,Competitor Product B,46,0,3
65448,35,56074,Product C,,256,1,1
23763,52,47617,Product A,Competitor Product A,78,0,6
71105,46,92711,Product C,Competitor Product A,126,1,3
19118,42,36295,Product B,Competitor Product B,165,0,8
8832,65,50369,Product A,Competitor Product B,49,1,3
45257,23,86336,Product C,Competitor Product B,287,0,2
46875,48,69240,Product C,Competitor Product A,249,1,7
32374,62,74406,Product A,,320,0,4
5224,37,87983,Product B,Competitor Product B,127,0,7
9563,21,95827,Product B,Competitor Product A,106,1,5
92437,22,61744,Product A,,44,0,7
73262,64,58620,Product B,,2,0,3
52207,30,94148,,Competitor Product B,21,1,9
74881,43,69061,Product C,,351,0,5
45777,64,33788,,Competitor Product A,29,1,3
83880,52,51131,Product A,,350,0,3
10490,63,42990,Product C,Competitor Product B,365,1,3
37718,41,51697,Product A,Competitor Product A,358,1,2
13076,22,87446,Product A,Competitor Product A,284,0,3
14025,41,35518,Product B,Competitor Product B,223,0,3
85110,56,37404,Product B,Competitor Product A,256,0,5
98511,59,66154,Product A,Competitor Product B,311,1,4
65279,50,63612,,,245,0,4
42220,21,76516,Product A,Competitor Product A,232,1,3
98001,59,99669,Product C,,51,0,6
69881,54,37912,Product C,Competitor Product B,351,1,7
4838,29,99953,Product C,Competitor Product A,318,0,6
44390,36,78770,Product C,Competitor Product A,89,0,2
67558,53,46092,Product B,Competitor Product B,242,1,9
77490,45,93847,Product B,,313,1,2
73005,28,66517,Product B,Competitor Product B,107,1,1
33893,31,80633,Product C,,117,0,9
2300,57,97506,Product A,Competitor Product A,81,1,4
43779,60,30356,Product B,Competitor Product A,20,1,10
1208,38,69195,Product B,,301,1,4
93117,52,72727,,,118,1,1
9041,51,93287,Product A,Competitor Product B,81,0,1
47927,61,60904,Product C,,213,0,7
45921,55,38635,Product A,,339,1,2
63195,23,46095,,,319,0,10
32896,33,69624,Product A,Competitor Product B,13,1,2
77810,34,58320,Product B,Competitor Product A,301,1,1
24725,46,54795,Product A,Competitor Product B,278,0,2
55592,68,55293,,,157,0,2
39886,64,90964,Product C,Competitor Product B,114,0,8
31640,69,62072,,Competitor Product B,264,0,9
364,70,49203,Product C,,272,0,3
64025,22,57573,Product A,Competitor Product A,259,0,9
32542,37,42887,Product A,,307,0,10
46601,43,39669,Product A,,258,1,9
90328,39,72891,Product B,Competitor Product B,67,1,4
20517,68,95291,Product C,Competitor Product A,305,1,3
78798,23,48035,Product B,,220,0,9
73877,34,51793,Product C,Competitor Product B,174,0,6
47132,42,44412,Product A,Competitor Product A,241,1,4
20305,66,38676,Product B,,307,1,5
79732,43,33218,Product C,Competitor Product A,221,0,8
17266,29,32488,Product B,,140,0,8
53782,27,79304,,Competitor Product B,169,1,1
44413,25,43356,Product A,,354,0,1
64199,46,49667,,Competitor Product B,228,1,4
54603,24,65058,Product A,,102,1,4
37812,39,75869,Product A,Competitor Product A,139,1,4
38593,18,56560,Product B,Competitor Product B,149,0,9
17447,41,68713,Product A,Competitor Product A,255,0,3
84424,26,54158,Product C,Competitor Product B,48,0,5
91814,37,38463,Product C,Competitor Product A,254,1,4
17209,25,72793,Product C,Competitor Product B,196,1,3
42945,67,66837,Product C,,114,0,7
14144,33,72985,Product C,,332,0,7
59559,47,53255,,Competitor Product A,30,1,4
34202,20,99505,Product C,Competitor Product B,189,1,6
64242,20,68620,,Competitor Product A,307,0,3
12438,44,68962,Product B,,153,0,6
85663,48,60492,Product B,,74,1,9
97,21,44797,,Competitor Product B,143,1,4
4448,38,45343,,,103,1,5
91475,37,78851,Product A,Competitor Product B,310,1,7
22008,69,47086,Product A,Competitor Product B,107,1,10
77046,62,35674,Product B,Competitor Product A,176,1,6
94292,50,42881,Product A,Competitor Product A,264,1,9
66659,63,81791,,Competitor Product A,78,1,5
61502,64,74163,Product B,Competitor Product B,252,1,8
17306,59,83222,Product C,Competitor Product A,173,1,3
9656,33,41114,,Competitor Product A,209,1,9
97391,49,67693,,,330,0,4
26682,42,42870,Product A,Competitor Product B,243,0,6
93687,70,79089,,Competitor Product A,353,1,4
81093,44,41298,Product B,Competitor Product A,11,0,9
25271,69,59081,Product B,,31,1,6
32233,36,94465,Product A,Competitor Product B,274,1,6
82123,45,34199,,,197,0,5
85799,65,85388,Product A,Competitor Product B,329,0,9
32786,19,96174,,Competitor Product B,34,1,3
2106,60,43127,Product B,Competitor Product A,89,0,5
73690,26,96334,Product C,Competitor Product A,156,1,1
57575,55,54669,Product A,,95,0,10
36506,61,48852,Product C,Competitor Product A,364,1,4
84143,64,51585,Product C,Competitor Product B,57,1,10
19786,35,77992,,Competitor Product B,19,1,9
49856,58,53912,Product B,,356,0,4
66237,30,67741,Product A,Competitor Product A,211,0,10
33302,21,75733,Product B,Competitor Product B,142,1,10
81004,19,41155,Product C,Competitor Product B,147,1,8
40938,70,98825,Product C,Competitor Product B,343,0,2
17024,35,70043,,Competitor Product B,277,0,4
21241,44,84001,Product B,Competitor Product B,310,1,9
79781,39,31330,Product B,Competitor Product A,241,0,2
36474,54,90685,Product B,Competitor Product A,99,0,8
63216,23,47696,Product B,Competitor Product B,204,0,5
26735,67,57119,,Competitor Product B,307,0,6
11123,61,33961,,Competitor Product A,11,1,3
37020,56,47263,Product A,Competitor Product A,228,0,6
30625,28,73612,,Competitor Product A,175,1,5
12130,52,62676,Product A,,17,1,5
49545,40,87526,,Competitor Product B,289,1,1
37854,21,97362,Product C,Competitor Product A,340,1,2
68835,25,92532,Product C,Competitor Product A,254,0,8
89564,35,60484,Product A,,142,0,10
24828,32,77675,Product B,Competitor Product B,228,0,7
87219,49,96518,,,229,0,5
17857,50,84252,,,98,0,3
21906,35,74926,Product C,Competitor Product B,158,1,9
78758,64,42252,Product A,Competitor Product B,276,0,8
4176,68,90748,Product A,,155,1,8
7826,30,62462,Product C,,258,1,6
1843,22,80258,Product A,Competitor Product B,296,1,8
58018,37,47708,Product C,Competitor Product B,120,0,6
73271,56,61481,Product A,,312,1,4
85037,59,45627,Product A,Competitor Product B,362,0,4
70926,29,85483,,Competitor Product B,104,0,10
58778,57,49388,,,301,1,7
94204,63,44138,Product B,Competitor Product B,339,0,6
62270,24,91857,Product B,Competitor Product B,322,1,5
58973,58,84426,Product B,,301,0,10
26128,27,60546,Product A,Competitor Product A,58,0,2
28738,41,31031,Product A,Competitor Product B,89,1,2
33559,66,68556,Product B,,283,0,2
95274,36,44410,,Competitor Product B,131,0,8
17898,69,68344,,Competitor Product B,272,0,2
59741,42,93168,Product A,,294,1,1
75226,70,44738,,Competitor Product B,298,0,5
85423,19,65407,Product C,,339,1,1
99198,23,73164,Product C,,50,0,5
49872,23,82103,Product A,Competitor Product B,182,0,3
74157,24,48508,Product C,Competitor Product B,115,0,8
25569,21,37962,Product A,Competitor Product B,151,1,2
17420,37,70892,Product C,Competitor Product A,38,1,2
93519,32,33208,Product A,Competitor Product A,97,0,3
52557,49,43998,,,61,0,2
61614,42,62446,Product C,Competitor Product A,325,0,7
9507,37,62879,Product A,Competitor Product A,239,1,10
98314,18,78113,,Competitor Product B,197,1,4
70279,19,88475,Product B,Competitor Product B,92,1,4
26613,57,79896,Product B,Competitor Product B,102,1,10
51919,25,79570,Product B,Competitor Product A,197,0,4
55402,54,44573,Product C,Competitor Product B,210,0,3
72265,47,58174,Product B,Competitor Product A,58,0,7
16434,42,61307,Product C,,192,1,6
14398,19,52996,,Competitor Product A,110,0,6
16279,58,88012,Product C,,320,1,4
13947,60,85742,,Competitor Product B,231,0,6
94327,19,42170,Product A,Competitor Product B,152,0,7
21614,58,70740,,,224,0,4
55583,39,73495,Product A,Competitor Product A,88,1,1
91379,29,49894,,,75,0,5
10297,64,67523,Product B,Competitor Product B,177,1,8
30762,44,61741,Product B,Competitor Product B,292,1,5
73090,58,57983,Product A,Competitor Product A,147,0,5
52548,59,73767,Product A,,26,0,7
64916,45,57602,Product A,,338,0,2
49893,39,65908,Product C,Competitor Product B,168,1,2
42992,68,62987,Product C,Competitor Product B,353,1,8
29062,62,73674,,Competitor Product B,85,1,4
4977,35,41563,Product C,Competitor Product B,224,1,8
21631,41,47719,,Competitor Product A,213,0,1
46547,66,83049,Product B,Competitor Product B,316,1,7
16086,27,54078,Product B,,151,0,4
28457,25,55560,Product A,,182,1,5
59947,44,34276,Product B,Competitor Product B,24,1,2
58186,54,32304,,Competitor Product B,257,1,5
46250,70,97006,,Competitor Product B,275,1,7
4035,50,73454,,Competitor Product A,296,0,8
2533,42,99977,Product C,Competitor Product B,327,0,1
70524,65,70694,Product B,Competitor Product B,356,0,5
33692,19,84792,Product C,Competitor Product B,183,0,7
50736,19,33104,Product C,,71,0,6
89869,49,32559,Product A,Competitor Product A,115,0,1
39409,21,32395,Product C,Competitor Product B,182,1,8
53879,18,91955,Product C,,302,0,9
70672,33,98207,,Competitor Product B,40,0,10
60673,34,80151,Product C,Competitor Product B,50,0,7
96353,29,61712,Product A,Competitor Product A,213,1,3
71927,67,79420,Product B,,285,0,9
44580,58,91988,,Competitor Product B,352,1,10
66600,49,97987,Product C,Competitor Product A,317,0,4
15292,22,88584,Product B,,118,0,3
35156,58,81731,Product C,Competitor Product A,271,1,4
32733,20,71097,,,338,1,9
20746,22,32956,Product A,,190,0,3
23137,66,64825,Product B,,67,1,5
30929,25,49076,Product A,Competitor Product A,61,0,4
87031,62,69667,,Competitor Product A,342,1,1
72405,21,91577,Product B,Competitor Product A,114,0,2
72131,43,76902,Product B,Competitor Product B,314,0,3
19205,20,80558,Product A,,25,1,8
60969,58,57628,Product B,,227,1,3
78498,31,70563,Product C,Competitor Product B,105,0,3
